corp_code,corp_name,stock_code,corp_cls,induty2,acc_mt,excluded,has_financial,fail_reason
00599230,평산차업집단유한공사,950010,E,64,12,1,,excluded_fin_realestate
00155212,포스코DX,022100,Y,72,12,0,1,
00862312,포스뱅크,105760,K,29,12,0,0,newly_listed_or_delisted_or_other
00769158,케이엔제이,272110,K,26,12,0,1,
00111838,대원,007680,K,41,12,0,1,
00361202,이노블루,066200,E,46,12,0,0,newly_listed_or_delisted_or_other
00140946,한솔로지스틱스,009180,Y,52,12,0,1,
01064069,토박스코리아,215480,K,47,12,0,1,
01669226,한화리츠,451800,Y,68,04,1,,excluded_fin_realestate
01658831,오름테라퓨틱,475830,K,21,12,0,0,newly_listed_or_delisted_or_other
01020269,탈로스,434190,N,28,12,0,0,konex
00108612,DS단석,017860,Y,20,12,0,0,newly_listed_or_delisted_or_other
00258102,지엔코,065060,K,14,12,0,1,
00150828,진흥기업,002780,Y,41,12,0,1,
00287812,에코심플렉스,038870,K,74,12,0,1,
00469799,이엔플러스,074610,Y,29,12,0,1,
00153852,텔슨정보통신,018180,E,26,12,0,0,newly_listed_or_delisted_or_other
00121534,MH에탄올,023150,Y,11,12,0,1,
00303396,한국컴퓨터,054040,K,26,12,0,1,
00453488,다이나믹디자인,145210,Y,29,12,0,1,
01335851,박셀바이오,323990,K,70,12,0,1,
01515323,LG에너지솔루션,373220,Y,28,12,0,1,
00264714,SG&G,040610,K,30,12,0,1,
00569691,디엔에프,092070,K,20,12,0,1,
00173634,에듀언스,009010,E,85,12,0,0,newly_listed_or_delisted_or_other
00173078,명신산업,009900,Y,30,12,0,1,
00365624,아이윈,090150,K,30,12,0,1,
00148717,도레이케미칼,008000,E,20,03,0,0,non_december_fy
00165361,휴코드홀딩스,036840,E,70,12,0,0,newly_listed_or_delisted_or_other
01141599,아리바이오LAB,261780,K,70,12,0,1,
00110884,엠젠솔루션,032790,K,46,12,0,1,
00155586,HLB이노베이션,024850,K,26,12,0,1,
00602136,디와이피엔에프,104460,K,29,12,0,1,
00104704,한국저축은행,025610,E,64,06,1,,excluded_fin_realestate
00164478,현대건설,000720,Y,41,12,0,1,
00139889,SKC,011790,Y,20,12,0,1,
00144021,원풍물산,008290,K,14,12,0,1,
00200910,아이즈비전,031310,K,61,12,0,1,
00121570,문배철강,008420,Y,24,12,0,1,
01051472,젠큐릭스,229000,K,21,12,0,1,
00133928,세신,004230,E,25,12,0,0,newly_listed_or_delisted_or_other
