corp_code,year,account,cand_nm,cand_id,cand_value,is_pick
00476498,2021,매출채권,매출채권,dart_ShortTermTradeReceivable,52542050059,1
01108442,2022,매출원가,매출원가,ifrs-full_CostOfSales,128517453640,1
01108442,2022,매출총이익,매출총이익(손실),ifrs-full_GrossProfit,38422687622,1
01108442,2022,영업이익,영업이익(손실),dart_OperatingIncomeLoss,12890178992,1
01108442,2022,재고자산,재고자산,ifrs-full_Inventories,14431789627,1
01108442,2022,매출채권,매출채권,dart_ShortTermTradeReceivable,51002518866,1
00562245,2020,매출액,매출액,ifrs-full_Revenue,273971524285,1
00562245,2020,매출액,이자수익,-표준계정코드 미사용-,90468226,0
00562245,2020,매출원가,매출원가,ifrs-full_CostOfSales,240289816228,1
00562245,2020,매출총이익,매출총이익,ifrs-full_GrossProfit,33681708057,1
00562245,2020,영업이익,영업이익(손실),dart_OperatingIncomeLoss,13989061065,1
00562245,2020,매출채권,매출채권,dart_ShortTermTradeReceivable,29584833965,1
01199727,2022,매출액,수익(매출액),ifrs-full_Revenue,47572154757,1
01199727,2022,매출원가,매출원가,ifrs-full_CostOfSales,24503292595,1
01199727,2022,매출총이익,매출총이익,ifrs-full_GrossProfit,23068862162,1
01199727,2022,영업이익,영업이익(손실),dart_OperatingIncomeLoss,13627082000,1
01199727,2022,재고자산,재고자산,ifrs-full_Inventories,3018817894,1
01199727,2022,매출채권,매출채권,dart_ShortTermTradeReceivable,3745421900,1
00545734,2021,매출액,매출액,ifrs-full_Revenue,33982591549,1
00545734,2021,매출원가,매출원가,ifrs-full_CostOfSales,19573072447,1
00545734,2021,매출총이익,매출총이익,ifrs-full_GrossProfit,14409519102,1
00545734,2021,영업이익,영업이익,dart_OperatingIncomeLoss,941258666,1
00545734,2021,재고자산,재고자산,ifrs-full_Inventories,10425547685,1
00545734,2021,매출채권,매출채권 및 기타유동채권,ifrs-full_TradeAndOtherCurrentReceivables,13030614410,1
00617998,2019,매출액,수익(매출액),ifrs_Revenue,57189709206,1
00617998,2019,매출원가,매출원가,ifrs_CostOfSales,50184393911,1
00617998,2019,매출총이익,매출총이익,ifrs_GrossProfit,7005315295,1
00617998,2019,영업이익,영업이익(손실),dart_OperatingIncomeLoss,1064216375,1
