corp_code,year,account,our_pick_nm,our_pick_id,our_pick_value,n_candidates,verdict,note
00545734,2021,영업이익,영업이익,dart_OperatingIncomeLoss,941258666,1,OK,표준 id 일치(dart_OperatingIncomeLoss)
00545734,2021,재고자산,재고자산,ifrs-full_Inventories,10425547685,1,OK,표준 id 일치(ifrs-full_Inventories)
00545734,2021,매출채권,매출채권 및 기타유동채권,ifrs-full_TradeAndOtherCurrentReceivables,13030614410,1,DISCLOSURE,"합산선만 공시(순수 매출채권 미공시 — 공시 현실, 허용)"
00617998,2019,매출액,수익(매출액),ifrs_Revenue,57189709206,1,OK,표준 id 일치(ifrs_Revenue)
00617998,2019,매출원가,매출원가,ifrs_CostOfSales,50184393911,1,OK,매출원가 직접
00617998,2019,매출총이익,매출총이익,ifrs_GrossProfit,7005315295,1,OK,표준 id 일치(ifrs_GrossProfit)
00617998,2019,영업이익,영업이익(손실),dart_OperatingIncomeLoss,1064216375,3,OK,표준 id 일치(dart_OperatingIncomeLoss)
00617998,2019,재고자산,재고자산,ifrs_Inventories,3348636065,1,OK,표준 id 일치(ifrs_Inventories)
00617998,2019,매출채권,매출채권,dart_ShortTermTradeReceivable,16645334608,1,OK,매출채권류
00572905,2019,매출액,매출액,ifrs_Revenue,101879554015,1,OK,표준 id 일치(ifrs_Revenue)
00572905,2019,매출원가,매출원가,ifrs_CostOfSales,71345647932,1,OK,매출원가 직접
00572905,2019,매출총이익,매출총이익,ifrs_GrossProfit,30533906083,1,OK,표준 id 일치(ifrs_GrossProfit)
00572905,2019,영업이익,영업이익,dart_OperatingIncomeLoss,13108189842,1,OK,표준 id 일치(dart_OperatingIncomeLoss)
00572905,2019,재고자산,재고자산,ifrs_Inventories,7743811940,1,OK,표준 id 일치(ifrs_Inventories)
00572905,2019,매출채권,,,,1,NO_PICK,후보 있으나 별칭 미스
00497631,2022,매출액,매출액,ifrs-full_Revenue,189544183775,1,OK,표준 id 일치(ifrs-full_Revenue)
00497631,2022,매출원가,매출원가,ifrs-full_CostOfSales,166513155036,1,OK,매출원가 직접
00497631,2022,매출총이익,매출총이익,ifrs-full_GrossProfit,23031028739,1,OK,표준 id 일치(ifrs-full_GrossProfit)
00497631,2022,영업이익,영업이익(손실),dart_OperatingIncomeLoss,16821458054,1,OK,표준 id 일치(dart_OperatingIncomeLoss)
00497631,2022,재고자산,재고자산,ifrs-full_Inventories,33203971546,1,OK,표준 id 일치(ifrs-full_Inventories)
00497631,2022,매출채권,매출채권 및 기타채권,ifrs-full_TradeAndOtherCurrentReceivables,45306221637,1,DISCLOSURE,"합산선만 공시(순수 매출채권 미공시 — 공시 현실, 허용)"
00108241,2020,매출액,매출액,ifrs-full_Revenue,1905694049103,2,OK,표준 id 일치(ifrs-full_Revenue)
00108241,2020,매출원가,매출원가,ifrs-full_CostOfSales,1409083926164,1,OK,매출원가 직접
00108241,2020,매출총이익,매출총이익,ifrs-full_GrossProfit,496610122939,1,OK,표준 id 일치(ifrs-full_GrossProfit)
00108241,2020,영업이익,영업이익,dart_OperatingIncomeLoss,49347259096,1,OK,표준 id 일치(dart_OperatingIncomeLoss)
00108241,2020,재고자산,재고자산,ifrs-full_Inventories,148859665370,1,OK,표준 id 일치(ifrs-full_Inventories)
00108241,2020,매출채권,매출채권,dart_ShortTermTradeReceivable,163835961062,1,OK,매출채권류
01061558,2020,매출액,매출액,ifrs-full_Revenue,97873417668,1,OK,표준 id 일치(ifrs-full_Revenue)
01061558,2020,매출원가,매출원가,ifrs-full_CostOfSales,64608288589,1,OK,매출원가 직접
01061558,2020,매출총이익,매출총이익,ifrs-full_GrossProfit,33265129079,1,OK,표준 id 일치(ifrs-full_GrossProfit)
01061558,2020,영업이익,영업이익,dart_OperatingIncomeLoss,20761496950,1,OK,표준 id 일치(dart_OperatingIncomeLoss)
01061558,2020,재고자산,재고자산,ifrs-full_Inventories,23211884389,1,OK,표준 id 일치(ifrs-full_Inventories)
01061558,2020,매출채권,매출채권,dart_ShortTermTradeReceivable,10698174309,2,OK,매출채권류
00557933,2019,매출액,매출액,ifrs_Revenue,120062514171,1,OK,표준 id 일치(ifrs_Revenue)
00557933,2019,매출원가,매출원가,ifrs_CostOfSales,66878834067,1,OK,매출원가 직접
00557933,2019,매출총이익,매출총이익,ifrs_GrossProfit,53183680104,1,OK,표준 id 일치(ifrs_GrossProfit)
00557933,2019,영업이익,영업이익(손실),dart_OperatingIncomeLoss,7342620335,1,OK,표준 id 일치(dart_OperatingIncomeLoss)
00557933,2019,재고자산,재고자산,ifrs_Inventories,73195611134,1,OK,표준 id 일치(ifrs_Inventories)
00557933,2019,매출채권,매출채권,dart_ShortTermTradeReceivable,16748425961,1,OK,매출채권류
00186799,2022,매출액,매출액,ifrs-full_Revenue,322331646673,1,OK,표준 id 일치(ifrs-full_Revenue)
00186799,2022,매출원가,매출원가,ifrs-full_CostOfSales,293015893520,1,OK,매출원가 직접
00186799,2022,매출총이익,매출총이익,ifrs-full_GrossProfit,29315753153,1,OK,표준 id 일치(ifrs-full_GrossProfit)
00186799,2022,영업이익,영업이익(손실),dart_OperatingIncomeLoss,5077214615,1,OK,표준 id 일치(dart_OperatingIncomeLoss)
00186799,2022,재고자산,재고자산,ifrs-full_Inventories,113367585016,1,OK,표준 id 일치(ifrs-full_Inventories)
00186799,2022,매출채권,매출채권 및 기타채권,ifrs-full_TradeAndOtherCurrentReceivables,147594373781,1,DISCLOSURE,"합산선만 공시(순수 매출채권 미공시 — 공시 현실, 허용)"
00198378,2017,매출액,매출액,ifrs_Revenue,11908636959,1,OK,표준 id 일치(ifrs_Revenue)
00198378,2017,매출원가,매출원가,ifrs_CostOfSales,7034017350,2,OK,매출원가 직접
00198378,2017,매출총이익,매출총이익,ifrs_GrossProfit,4874619609,1,OK,표준 id 일치(ifrs_GrossProfit)
00198378,2017,영업이익,영업이익(손실),dart_OperatingIncomeLoss,1679011406,3,OK,표준 id 일치(dart_OperatingIncomeLoss)
00198378,2017,재고자산,재고자산,ifrs_Inventories,670882379,1,OK,표준 id 일치(ifrs_Inventories)
00198378,2017,매출채권,매출채권 및 기타유동채권,ifrs_TradeAndOtherCurrentReceivables,1332154608,1,DISCLOSURE,"합산선만 공시(순수 매출채권 미공시 — 공시 현실, 허용)"
00201742,2022,매출액,매출액,ifrs-full_Revenue,178913757521,1,OK,표준 id 일치(ifrs-full_Revenue)
00201742,2022,매출원가,매출원가,ifrs-full_CostOfSales,167584861228,1,OK,매출원가 직접
00201742,2022,매출총이익,매출총이익,ifrs-full_GrossProfit,11328896293,1,OK,표준 id 일치(ifrs-full_GrossProfit)
00201742,2022,영업이익,영업이익(손실),dart_OperatingIncomeLoss,1208404078,1,OK,표준 id 일치(dart_OperatingIncomeLoss)
00201742,2022,재고자산,재고자산,ifrs-full_Inventories,14308998878,1,OK,표준 id 일치(ifrs-full_Inventories)
00201742,2022,매출채권,매출채권,dart_ShortTermTradeReceivable,19066891256,1,OK,매출채권류
00125488,2017,매출액,매출액,ifrs_Revenue,40646307987,4,OK,표준 id 일치(ifrs_Revenue)
00125488,2017,매출원가,매출원가,ifrs_CostOfSales,33491823087,3,OK,매출원가 직접
00125488,2017,매출총이익,매출총이익,ifrs_GrossProfit,7154484900,1,OK,표준 id 일치(ifrs_GrossProfit)
00125488,2017,영업이익,영업이익(손실),dart_OperatingIncomeLoss,5147342625,1,OK,표준 id 일치(dart_OperatingIncomeLoss)
00125488,2017,재고자산,재고자산,ifrs_Inventories,3514294378,1,OK,표준 id 일치(ifrs_Inventories)
00125488,2017,매출채권,매출채권,-표준계정코드 미사용-,7160141170,1,OK,순수 매출채권
00133858,2018,매출액,매출액,ifrs_Revenue,1108228132369,3,OK,표준 id 일치(ifrs_Revenue)
00133858,2018,매출원가,매출원가,ifrs_CostOfSales,940133094365,4,OK,매출원가 직접
00133858,2018,매출총이익,매출총이익,ifrs_GrossProfit,168095038004,1,OK,표준 id 일치(ifrs_GrossProfit)
00133858,2018,영업이익,영업이익(손실),dart_OperatingIncomeLoss,69021895876,3,OK,표준 id 일치(dart_OperatingIncomeLoss)
00133858,2018,재고자산,재고자산,ifrs_Inventories,148391094959,1,OK,표준 id 일치(ifrs_Inventories)
00133858,2018,매출채권,매출채권 및 기타유동채권,ifrs_TradeAndOtherCurrentReceivables,232997585055,1,DISCLOSURE,"합산선만 공시(순수 매출채권 미공시 — 공시 현실, 허용)"
00185505,2021,매출액,수익(매출액),ifrs-full_Revenue,18999122711,1,OK,표준 id 일치(ifrs-full_Revenue)
00185505,2021,매출원가,매출원가,ifrs-full_CostOfSales,15212043493,1,OK,매출원가 직접
00185505,2021,매출총이익,매출총이익,ifrs-full_GrossProfit,3787079218,1,OK,표준 id 일치(ifrs-full_GrossProfit)
00185505,2021,영업이익,영업이익(손실),dart_OperatingIncomeLoss,-487622711,1,OK,표준 id 일치(dart_OperatingIncomeLoss)
00185505,2021,재고자산,재고자산,ifrs-full_Inventories,5369203667,1,OK,표준 id 일치(ifrs-full_Inventories)
00185505,2021,매출채권,매출채권,dart_ShortTermTradeReceivable,3841355264,1,OK,매출채권류
00267979,2019,매출액,수익(매출액),ifrs_Revenue,117025131894,1,OK,표준 id 일치(ifrs_Revenue)
00267979,2019,매출원가,매출원가,ifrs_CostOfSales,108606321577,1,OK,매출원가 직접
00267979,2019,매출총이익,매출총이익,ifrs_GrossProfit,8418810317,1,OK,표준 id 일치(ifrs_GrossProfit)
00267979,2019,영업이익,영업이익(손실),dart_OperatingIncomeLoss,4087518966,2,OK,표준 id 일치(dart_OperatingIncomeLoss)
00267979,2019,재고자산,재고자산,ifrs_Inventories,19197899945,1,OK,표준 id 일치(ifrs_Inventories)
